Name,PM
Camponotus_sklarus,0
Camponotus_socius,0
Camponotus_solon,0
Camponotus_spissinodis,0
Camponotus_subbarbatus,0
Camponotus_sylvaticus,0
Camponotus_taniae,0
Camponotus_terebrans,0
Camponotus_tergestinus,0
Camponotus_testaceipes,0
Camponotus_texens,0
Camponotus_textor,0
Camponotus_thoracicus,0
Camponotus_tokyoensis,0
Camponotus_tonkinus,0
Camponotus_transvaalensis,0
Camponotus_truncatus,0
Camponotus_universitatis,0
Camponotus_vanispinus,0
Camponotus_variegatus,0
Camponotus_vicinus,0
Camponotus_vitiensis,0
Camponotus_vitiosus,0
Camponotus_vittatus,0
Camponotus_vividus,0
Camponotus_wiederkehri,0
Camponotus_xerxes,0
Camponotus_xingdoushanensis,0
Camponotus_yamaokai,0
Camponotus_yessensis,0
Camponotus_zoc,0
Cardiocondyla_atalanta,0
Cardiocondyla_batesii,0
Cardiocondyla_elegans,0
Cardiocondyla_emeryi,0
Cardiocondyla_gallagheri,0
Cardiocondyla_gibbosa,0
