generation,N_shifts,logPrior,logLik,eventRate,acceptRate
4830000,29,94.8594,-3362.29,22.3958,0.33169
4840000,31,110.698,-3382.12,16.3929,0.327367
4850000,32,108.172,-3349.29,16.0007,0.331657
4860000,25,79.0799,-3395.26,12.8723,0.33305
4870000,28,94.1367,-3374.35,16.1618,0.325375
4880000,33,113.392,-3368.93,15.776,0.3418
4890000,32,103.674,-3345.86,14.9652,0.332486
4900000,33,95.373,-3354.35,14.869,0.3355
4910000,30,98.3669,-3361.75,11.5668,0.3274
4920000,32,107.937,-3358.93,15.3744,0.347
4930000,30,99.3245,-3353.62,16.9237,0.3419
4940000,33,118.302,-3369.25,15.6695,0.3325
4950000,31,98.9171,-3375.85,13.2429,0.3611
4960000,31,97.0751,-3356.43,22.2618,0.3327
4970000,35,111.377,-3360.43,16.9917,0.3364
4980000,39,128.89,-3376.84,18.8994,0.336417
4990000,25,81.5445,-3375.07,16.093,0.3241
5000000,25,90.5262,-3386.31,10.6446,0.329167
5010000,28,93.5024,-3359.33,14.6556,0.3258
5020000,28,80.8183,-3363.99,17.3682,0.336173
5030000,31,107.627,-3368.99,15.3442,0.33865
5040000,33,114.008,-3366.68,19.2349,0.3538
5050000,31,103.071,-3364.85,17.6498,0.339067
5060000,28,96.7134,-3361.43,13.8556,0.35495
5070000,25,82.549,-3375.39,12.4332,0.3267
5080000,27,95.7594,-3373.25,11.5799,0.3227
5090000,28,98.6289,-3374.23,15.0403,0.335767
5100000,24,68.8531,-3379.24,17.5955,0.3157
5110000,29,102.557,-3380.76,11.5361,0.337854
5120000,33,121.378,-3379.33,13.633,0.3561
5130000,28,85.5065,-3372.14,19.2986,0.320367
5140000,27,91.0824,-3385.1,10.5911,0.328179
5150000,25,89.2959,-3389.19,13.4251,0.32605
5160000,29,103.992,-3385.11,14.1328,0.3489
5170000,34,122.85,-3349,17.922,0.334167
5180000,31,104.675,-3386.2,13.7849,0.34805
5190000,30,99.6636,-3384.72,16.1484,0.34045
5200000,28,95.34,-3369.54,13.3945,0.3179
5210000,28,80.9212,-3367.15,14.5682,0.3328
5220000,28,99.7275,-3373.68,16.569,0.324462
5230000,28,90.6957,-3366.09,18.7949,0.3343
5240000,35,121.664,-3360.51,19.6985,0.335411
5250000,28,91.1627,-3372.75,15.8179,0.33525
5260000,33,110.319,-3350.43,16.9752,0.32328
5270000,37,117.844,-3373.45,21.2843,0.3245
5280000,32,104.114,-3364.28,17.2812,0.3324
